Title,Content,Post Type,Permalink,Rubbish Tip Locations - Categories,Rubbish Tip Locations - Region,Rubbish Tip Locations - Accepted Materials,Slug,Custom URI,field_name,address,street,street2,city,province,zip,country,lat,lng
Windmill Hill - Totness - Transfer Station,"Accepts
Waste oil (domestic only), car and truck batteries and used LPG gas bottles.

Windmill Hill Transfer Station is now a Paintback collection site which is able to accept unwanted paint and packaging for free. Paintback accepts up to 100 litres per vehicle per visit that's secured in containers of 20 litres or less. The system applies to both residential and trades and paint can be dry or liquid. For more information on Paintback visit www.paintback.com.au

Mulch
Mulch is available for purchase, see fees listed below.

Free Clean Green Waste Days
A number of free clean green waste drop-off days are offered throughout the year. For more information, visit the Free Clean Green Waste Drop-off Day page.

Fees
Windmill Hill Transfer Station Fees and Charges

EFTPOS IS AVAILABLE

Opening Hours
Monday Closed
Tuesday 08:30AM - 04:30PM
Wednesday 08:30AM - 04:30PM
Thursday 08:30AM - 04:30PM
Friday 08:30AM - 04:30PM
Saturday 08:30AM - 04:30PM
Sunday 01:30PM - 04:30PM
Closed Public Holidays (closed on Good Friday, Easter Saturday, Easter Sunday and Easter Monday)",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/windmill-hill-totness-transfer-station/,Transfer Station,Adelaide,Construction Material,windmill-hill-totness-transfer-station,adelaide/windmill-hill-totness-transfer-station,location_address,"1 Windmill Ln, Totness SA 5250, Australia",,,,,,,-35.049527,138.835585
Launceston Waste Centre and Transfer Station,"<strong>Opening hours:</strong> 8:00am to 4:45pm, 7 days a week (except Christmas Day and Good Friday)

<strong>Payment methods</strong>: Smart cards, credit card, EFTPOS, cash, account (prior approval required) and voucher are accepted.

The Launceston Waste Centre (LWC) houses a recycling shed, transfer station and green waste collection area available to the public to dispose of various materials, as well as landfill and organics processing facility to accommodate municipal waste collections.

The resale shop 'Uptipity', also located at LWC, is available to the public to purchase items recovered from the waste stream.

Domestic quantities of permitted recyclable items can be disposed of free of charge at the facility's Recycling Centre. All other waste disposed of at the Transfer Station will incur a fee. For more information on how to sort your waste and save money and the environment, please read the <a title=""sort_and_save.pdf"" href=""https://www.launceston.tas.gov.au/files/content/public/natural-environment-and-waste/waste-centres/sort_and_save.pdf"" target=""_self"" rel=""noopener"" data-uw-pdf-br=""2"" data-uw-pdf-doc="""">Sort and Save Fact Sheets</a>.

<strong>Please note: Businesses should contact a waste contractor for recycling services.</strong>

For more information concerning the disposal of hazardous waste, including <a href=""https://www.launceston.tas.gov.au/Community/Health-and-Safety/Unhealthy-housing"" target=""_self"" rel=""noopener"" data-uw-rm-brl=""PR"" data-uw-original-href=""https://www.launceston.tas.gov.au/Community/Health-and-Safety/Unhealthy-housing"">asbestos</a>, contact the Customer Service Centre on <a href=""tel:03 6323 3000"" aria-label=""call 03 6323 3000"" data-uw-rm-vglnk="""">03 6323 3000</a>.

Next to the Recycling Centre is Uptipity, a second-hand shop open 8:30 am to 4:00 pm, 7 days a week (closed Christmas day and Good Friday). The store can be contacted on <a href=""tel:0363262214"" aria-label=""call 0363262214"" data-uw-rm-vglnk="""">03 6326 2214</a> during business hours. Donations to Uptipity can be made at the Recycling Centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/launceston-waste-centre-and-transfer-station/,Recycling Centre|Rubbish Tip|Transfer Station,Tasmania,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,launceston-waste-centre-and-transfer-station,tasmania/launceston-waste-centre-and-transfer-station,location_address,"JFK Access Road, Queens, Queens County, New York, 11430, United States",Launceston Waste Centre and Transfer Station,,Launceston,Tasmania,7248,AU,-41.392958,147.152402
Lilydale Transfer Station,"<strong>Opening hours</strong>: Sunday 8:30am - 12:00pm

<strong>Payment methods</strong>: Smart cards, credit card, EFTPOS, account (prior approval required) and voucher are accepted.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/lilydale-transfer-station/,Transfer Station,Tasmania,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,lilydale-transfer-station,tasmania/lilydale-transfer-station,location_address,,Second River Road,,Lilydale,Tasmania,7268,AU,-41.236905,147.184782
Campbell Town Transfer Station,"The Northern Midlands Council recycles a range of materials at its Longford, Evandale and Campbell Town Waste Transfer Stations. Residents can dispose of recyclables at these waste transfer stations or use the kerbside recycling service. Only domestic quantities will be accepted at the transfer stations. Please note processing of recycling is half the fee of refuse disposal.

A number of recycling business operate in Tasmania for information about these businesses including contact details and by type of material they collect can be found in the <a href=""http://www.recyclingnearyou.com.au/"" target=""_blank"" rel=""noopener"">Recycling Near You Directory</a>.

There are two main landfill sites licensed to take Controled or non-acceptable waste. These are Port Latta in the North West and Dulverton in the North. In the south the Hobart City Council site at McRobies Gully can take limited Controlled Waste such as some medical waste and quarantine waste. In the north, the Launceston City Council at Remount Road can take small and limited quantities of Controlled Waste.

It is always wise to contact the <a href=""http://epa.tas.gov.au/pages/Contact-Us.aspx"" target=""_blank"" rel=""noopener"">Waste Management Officers</a> at the Department of Primary Industries, Water and Environment to ask their advise before you dispose of any Controlled Waste or if you are unsure if your waste is considered 'Controlled Waste' or not.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/campbell-town-transfer-station/,Transfer Station,Tasmania,Batteries|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,campbell-town-transfer-station,tasmania/campbell-town-transfer-station,location_address,"Campbell Town, Northern Midlands, Tasmania, 7210, Australia",,,,Tasmania,7210,AU,-41.955162,147.513256
Evandale Waste Transfer Station,"The Northern Midlands Council recycles a range of materials at its Longford, Evandale and Campbell Town Waste Transfer Stations. Residents can dispose of recyclables at these waste transfer stations or use the kerbside recycling service. Only domestic quantities will be accepted at the transfer stations. Please note processing of recycling is half the fee of refuse disposal.

A number of recycling business operate in Tasmania for information about these businesses including contact details and by type of material they collect can be found in the <a href=""http://www.recyclingnearyou.com.au/"" target=""_blank"" rel=""noopener"">Recycling Near You Directory</a>.

There are two main landfill sites licensed to take Controled or non-acceptable waste. These are Port Latta in the North West and Dulverton in the North. In the south the Hobart City Council site at McRobies Gully can take limited Controlled Waste such as some medical waste and quarantine waste. In the north, the Launceston City Council at Remount Road can take small and limited quantities of Controlled Waste.

It is always wise to contact the <a href=""http://epa.tas.gov.au/pages/Contact-Us.aspx"" target=""_blank"" rel=""noopener"">Waste Management Officers</a> at the Department of Primary Industries, Water and Environment to ask their advise before you dispose of any Controlled Waste or if you are unsure if your waste is considered 'Controlled Waste' or not.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/evandale-waste-transfer-station/,,Tasmania,Batteries|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,evandale-waste-transfer-station,tasmania/evandale-waste-transfer-station,location_address,"Evandale, Northern Midlands, Tasmania, 7212, Australia",,,,Tasmania,7212,AU,-41.57777,147.273016
Longford Waste Transfer Station,"Monday - 1pm to 5pm
Wednesday - 9am to 5pm
Friday - 9am to 5pm
Saturday - 9am to 5pm
Sunday - 9am to 5pm

The Northern Midlands Council recycles a range of materials at its Longford, Evandale and Campbell Town Waste Transfer Stations. Residents can dispose of recyclables at these waste transfer stations or use the kerbside recycling service. Only domestic quantities will be accepted at the transfer stations. Please note processing of recycling is half the fee of refuse disposal.

A number of recycling business operate in Tasmania for information about these businesses including contact details and by type of material they collect can be found in the <a href=""http://www.recyclingnearyou.com.au/"" target=""_blank"" rel=""noopener"">Recycling Near You Directory</a>.

There are two main landfill sites licensed to take Controled or non-acceptable waste. These are Port Latta in the North West and Dulverton in the North. In the south the Hobart City Council site at McRobies Gully can take limited Controlled Waste such as some medical waste and quarantine waste. In the north, the Launceston City Council at Remount Road can take small and limited quantities of Controlled Waste.

It is always wise to contact the <a href=""http://epa.tas.gov.au/pages/Contact-Us.aspx"" target=""_blank"" rel=""noopener"">Waste Management Officers</a> at the Department of Primary Industries, Water and Environment to ask their advise before you dispose of any Controlled Waste or if you are unsure if your waste is considered 'Controlled Waste' or not.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/longford-waste-transfer-station/,Transfer Station,Tasmania,Batteries|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,longford-waste-transfer-station,tasmania/longford-waste-transfer-station,location_address,"Marlborough Street, Longford, Northern Midlands, Tasmania, Australia",Marlborough Street,,,Tasmania,,AU,-41.621862,147.113843
McRobies Gully Waste Management Centre,"<table class=""sc-responsive-table"">
<tbody>
<tr>
<td>Monday to Friday</td>
<td>7.30 am – 4 pm</td>
</tr>
<tr>
<td>Saturday to Sunday</td>
<td>10 am – 4 pm</td>
</tr>
<tr>
<td>Public Holidays</td>
<td>10 am – 4 pm</td>
</tr>
<tr>
<td>Christmas Day, New Years Day and Good Friday</td>
<td>Closed</td>
</tr>
</tbody>
</table>
The McRobies Gully Waste Management Centre (The Tip) is located at McRobies Road, South Hobart.

You can contact us on <a href=""tel:0362382581"">03 6238 2581</a>.

The City of Hobart is preparing for life without its own landfill, and has set a target date of 2030 to cease the operation of the landfill at McRobies Gully in South Hobart. The City has developed the <a class=""document ext-pdf"" title=""Click to open the Waste Management Strategy 2015-2030"" href=""https://www.hobartcity.com.au/files/assets/public/v/1/rubbish-recycling-and-street-cleaning/city_of_hobart_waste_management_strategy_2015-2030.pdf"" target=""_self"" rel=""noopener""><i></i>Waste Management Strategy 2015-2030<span class=""file-info"">(PDF, 3MB)</span></a> to implement significant waste reduction actions and programs with the primary aim to achieve zero waste to landfill.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/mcrobies-gully-waste-management-centre/,Rubbish Tip|Transfer Station,Tasmania,Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,mcrobies-gully-waste-management-centre,tasmania/mcrobies-gully-waste-management-centre,location_address,"McRobies Road, Cascades, South Hobart, Hobart, City of Hobart, Tasmania, 7008, Australia",McRobies Road,,Hobart,Tasmania,7008,AU,-42.887382,147.287049
Deloraine Waste Depot,"<strong>Open: </strong>Monday, Wednesday, Friday, Saturday and Sunday: 10am - 5pm
<strong>Closed: </strong>Tuesday, Thursday, Good Friday and Christmas Day

<a href=""https://www.meander.tas.gov.au/assets/img/site/Meander-Valley-Living/Waste-Recycling/0_Waste-Facility-Price-Lists/20240617-MVC-Tip-Signage_Deloraine-Temp.pdf"" target=""_blank"" rel=""noopener"">Deloraine Waste Depot categories and price list</a>",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/deloraine-waste-depot/,,Tasmania,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,deloraine-waste-depot,tasmania/deloraine-waste-depot,location_address,"Deloraine Refuse Disposal Site, Deloraine, Meander Valley, Tasmania, 7304, Australia",,,,Tasmania,7304,AU,-41.553653,146.673489
Westbury Waste Depot,"<strong>Open: </strong>Tuesday, Thursday, Saturday and Sunday: 10am - 5pm
<strong>Closed: </strong>Monday, Wednesday, Friday and Christmas Day

<a href=""https://www.meander.tas.gov.au/assets/img/site/Meander-Valley-Living/Waste-Recycling/0_Waste-Facility-Price-Lists/20240617-MVC-Tip-Signage_Westbury.pdf"" target=""_blank"" rel=""noopener"">Westbury Waste Depot categories and price list</a>",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/westbury-waste-depot/,,Tasmania,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,westbury-waste-depot,tasmania/westbury-waste-depot,location_address,"Cluan Road, Cluan, Bracknell, Meander Valley, Tasmania, 7303, Australia",Cluan Road,,Bracknell,Tasmania,7303,AU,-41.57951,146.829872
Mole Creek Waste Transfer Station,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/mole-creek-waste-transfer-station/,,Tasmania,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,mole-creek-waste-transfer-station,tasmania/mole-creek-waste-transfer-station,location_address,,Mersey Hill Road,,,Tasmania,,AU,-41.541426,146.451101
Nubeena Waste Transfer Station,"<div class=""gb-container gb-container-af425ea2"">

Tasman Council owns and operates the Nubeena Waste Transfer Station, located at 60 Tip Road, Nubeena.

<strong>OPERATING HOURS</strong>
<ul>
 	<li>Tuesday 9am to 1pm</li>
 	<li>Wednesday 9am to 1pm</li>
 	<li>Saturday 9am to 1pm</li>
 	<li>Sunday 12pm to 4pm</li>
</ul>
</div>
<strong>FEES AND CHARGES 2024-2025</strong>
<div class=""wp-block-columns is-layout-flex wp-container-2"">
<div class=""wp-block-column is-layout-flow"">
<figure class=""wp-block-table"">
<table>
<tbody>
<tr>
<td>Domestic (household) waste – per m3</td>
<td>$22.00</td>
</tr>
<tr>
<td>Domestic (household) waste – per bag</td>
<td>$6.00</td>
</tr>
<tr>
<td>Recyclables – per m3</td>
<td>$22.00</td>
</tr>
<tr>
<td>Green waste – per m3</td>
<td>$9.00</td>
</tr>
<tr>
<td>Metals including White Goods – per m3</td>
<td>$11.00</td>
</tr>
<tr>
<td>Gassed fridges/freezers/air-conditioning units – per item</td>
<td>$37.00</td>
</tr>
<tr>
<td>Oil and Batteries</td>
<td>No Charge</td>
</tr>
<tr>
<td>Commercial and construction waste – per m3</td>
<td>$42.00</td>
</tr>
<tr>
<td>Tyres – cars, motorcycles – per tyre</td>
<td>$12.00</td>
</tr>
<tr>
<td>Tyres – light truck, 4WD- per tyre</td>
<td>$23.00</td>
</tr>
<tr>
<td>Tyres – large truck – per tyre</td>
<td>$42.00</td>
</tr>
<tr>
<td>All tyres on rim (plus tyre fee) – per tyre/rim</td>
<td>$21.00</td>
</tr>
</tbody>
</table>
</figure>
</div>
</div>",charity_bin_dir_ltg,https://www.rubbishtips.com.au/tasmania/nubeena-waste-transfer-station/,,Tasmania,Cars &amp; Other Vehicles|Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,nubeena-waste-transfer-station,tasmania/nubeena-waste-transfer-station,location_address,"Tip Road, Nubeena, Tasman, Tasmania, 7184, Australia",Tip Road,,,Tasmania,7184,AU,-43.10017,147.757981
Brajkovich Demolition and Salvage - Bullsbrook - Rubbish Tip,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/brajkovich-demolition-and-salvage-bullsbrook-rubbish-tip/,,Perth,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,brajkovich-demolition-and-salvage-bullsbrook-rubbish-tip,perth/brajkovich-demolition-and-salvage-bullsbrook-rubbish-tip,location_address,"Walyunga Road, Walyunga National Park, Bullsbrook, City of Swan, Western Australia, Australia",Walyunga Road,,,Western Australia,,AU,-31.73553,116.044551
